"Week_Start","Store","Day","Forecast","Week_ID","Lag_Used"
"2014-05-25","richmond",1,260,18,21
"2014-05-25","richmond",2,207,18,21
"2014-05-25","richmond",3,31,18,21
"2014-05-25","richmond",4,27,18,21
"2014-05-25","richmond",5,20,18,21
"2014-05-25","richmond",6,50,18,21
"2014-05-25","richmond",7,79,18,21
"2014-06-01","richmond",1,63,19,21
"2014-06-01","richmond",2,58,19,21
"2014-06-01","richmond",3,38,19,21
"2014-06-01","richmond",4,44,19,21
"2014-06-01","richmond",5,48,19,21
"2014-06-01","richmond",6,86,19,21
"2014-06-01","richmond",7,70,19,21
"2014-06-08","richmond",1,62,20,21
"2014-06-08","richmond",2,28,20,21
"2014-06-08","richmond",3,31,20,21
"2014-06-08","richmond",4,39,20,21
"2014-06-08","richmond",5,43,20,21
"2014-06-08","richmond",6,76,20,21
"2014-06-08","richmond",7,84,20,21
