"Week_Start","Store","Day","Forecast","Week_ID"
"2014-04-19","richmond",5,72,13
"2014-04-19","richmond",6,78,13
"2014-04-19","richmond",7,84,13
"2014-04-27","richmond",1,79,14
"2014-04-27","richmond",2,72,14
"2014-04-27","richmond",3,69,14
"2014-04-27","richmond",4,70,14
"2014-04-27","richmond",5,74,14
"2014-04-27","richmond",6,78,14
"2014-04-27","richmond",7,78,14
"2014-05-04","richmond",1,84,15
"2014-05-04","richmond",2,76,15
"2014-05-04","richmond",3,71,15
"2014-05-04","richmond",4,70,15
"2014-05-04","richmond",5,72,15
"2014-05-04","richmond",6,76,15
"2014-05-04","richmond",7,78,15
"2014-05-11","richmond",1,90,16
"2014-05-11","richmond",2,84,16
"2014-05-11","richmond",3,76,16
"2014-05-11","richmond",4,80,16
"2014-05-11","richmond",5,83,16
"2014-05-11","richmond",6,86,16
"2014-05-11","richmond",7,86,16
"2014-05-18","richmond",1,76,17
"2014-05-18","richmond",2,73,17
"2014-05-18","richmond",3,73,17
"2014-05-18","richmond",4,77,17
"2014-05-18","richmond",5,80,17
"2014-05-18","richmond",6,82,17
"2014-05-18","richmond",7,81,17
"2014-05-25","richmond",1,258,18
"2014-05-25","richmond",2,203,18
"2014-05-25","richmond",3,66,18
"2014-05-25","richmond",4,42,18
"2014-05-25","richmond",5,29,18
"2014-05-25","richmond",6,77,18
"2014-05-25","richmond",7,84,18
"2014-06-01","richmond",1,81,19
"2014-06-01","richmond",2,78,19
"2014-06-01","richmond",3,77,19
"2014-06-01","richmond",4,81,19
"2014-06-01","richmond",5,78,19
"2014-06-01","richmond",6,81,19
"2014-06-01","richmond",7,82,19
"2014-06-08","richmond",1,87,20
"2014-06-08","richmond",2,84,20
"2014-06-08","richmond",3,80,20
"2014-06-08","richmond",4,78,20
"2014-06-08","richmond",5,79,20
"2014-06-08","richmond",6,82,20
"2014-06-08","richmond",7,84,20
